feature,pearson,pearson_signed,spearman,spearman_signed,chatterjee,chatterjee_ties,n_valid,nonlinear_score,chatterjee_vs_spearman,composite_score
Year,0.02456295223178262,-0.02456295223178262,0.02403788586858044,-0.02403788586858044,0.3398057398796994,-0.7794045692348226,2781,0.3152427876479168,0.31576785401111895,0.15050254738198868
Age,0.13305519884354114,-0.13305519884354114,0.14064158025729895,-0.14064158025729895,0.4609973445209281,-2.257034726499583,2346,0.327942145677387,0.32035576426362916,0.26650797153862327
Height,0.04687527442249509,0.04687527442249509,0.044500483742048846,0.044500483742048846,0.32740012878266767,-0.812841093003124,2781,0.2805248543601726,0.2828996450406188,0.15837277896243027
Weight,0.07102376950093234,0.07102376950093234,0.07365051950759435,0.07365051950759435,0.32416388240952887,-0.8215636644209416,2781,0.2531401129085965,0.2505133629019345,0.17306783966636957
Sprint_40yd,0.11242951455410065,-0.11242951455410065,0.13019984058346917,-0.13019984058346917,0.32568275576221906,-0.8533114044455836,2636,0.2132532412081184,0.19548291517874988,0.20306190884615855
Vertical_Jump,0.10940576644229623,0.10940576644229623,0.1035249021031679,0.1035249021031679,0.3298157606933563,-0.9802047885269811,2227,0.22040999425106006,0.22629085859018838,0.19580550484098175
Bench_Press_Reps,0.1322444800885339,0.1322444800885339,0.12790091574901263,0.12790091574901263,0.3461163507673557,-0.9371241997063757,2060,0.2138718706788218,0.21821543501834306,0.21649015905820623
Broad_Jump,0.11267341658633308,0.11267341658633308,0.11375615473487748,0.11375615473487748,0.348863501831302,-0.9080433882346104,2200,0.23619008524496893,0.2351073470964245,0.20747427212888397
Agility_3cone,0.07337192888005283,-0.07337192888005283,0.06760167302987434,-0.06760167302987434,0.3705133365043357,-0.9438740201963138,1811,0.29714140762428287,0.30291166347446136,0.19049741517471244
Shuttle,0.08794927879172143,-0.08794927879172143,0.07615313578468669,-0.07615313578468669,0.3378810303564681,-1.0450150664728537,1869,0.24993175156474667,0.2617278945717814,0.18438313651550967
Missing_Count,0.08080594087387631,-0.08080594087387631,0.08718294651467041,-0.08718294651467041,0.3182307640587746,-0.8375550453536076,2781,0.23742482318489827,0.2310478175441042,0.17768897184007387
BMI,0.06716511699902313,0.06716511699902313,0.0742283405885057,0.0742283405885057,0.3155338920811589,-0.8448238548684557,2781,0.24836877508213578,0.2413055514926532,0.16863159410872222
Speed_Score,0.2996546596272825,0.2996546596272825,0.2938662392935499,0.2938662392935499,0.38258716455865627,-0.6969138175725387,2636,0.08293250493137377,0.08872092526510639,0.33109113549971225
Explosion_Score,0.16279510938888378,0.16279510938888378,0.15793739496922654,0.15793739496922654,0.337418914677735,-0.9694816244925368,2162,0.1746238052888512,0.17948151970850845,0.2311873171785271
Momentum,0.1484347664260829,0.1484347664260829,0.14606196281054576,0.14606196281054576,0.35185878380858016,-0.7813685144839828,2636,0.20342401738249727,0.2057968209980344,0.22909253229442064
Work_Rate_Vertical,0.18694026224674537,0.18694026224674537,0.18044522779689814,0.18044522779689814,0.3554107366668764,-0.9045788770053476,2227,0.16847047442013102,0.17496550886997825,0.2523799416798436
Agility_Sum,0.08063051271529277,-0.08063051271529277,0.0728896177392308,-0.0728896177392308,0.39393920308560193,-0.8809814224057047,1782,0.3133086903703092,0.3210495853463711,0.20363172037059787
Power_Sum,0.11344482256434418,0.11344482256434418,0.11218361882040286,0.11218361882040286,0.351988760532989,-0.9261736515979366,2162,0.23854393796864481,0.23980514171258616,0.20848403662861972
Age_x_Speed,0.19282847398821973,0.19282847398821973,0.1851367631898243,0.1851367631898243,0.48324386465555635,-2.094686208677686,2238,0.2904153906673366,0.29810710146573205,0.3066871170156358
Age_x_Momentum,0.05489044701676517,0.05489044701676517,0.048048375543567313,0.048048375543567313,0.4698390362419521,-2.1749634125344355,2238,0.41494858922518696,0.4217906606983848,0.2188172612648806
Age_div_Explosion,0.15316492147731106,0.15316492147731106,0.1491516915395571,0.1491516915395571,0.4934851927356708,-2.391301259168487,1842,0.34032027125835973,0.3443335011961137,0.2880890609993288
